Date,Temperature (°C),Humidity (%),Wind Speed (km/h),Rainfall (mm)
2024-07-01,32.4,56.1,12.6,0
2024-07-02,29.1,62.5,9.1,0
2024-07-03,32.8,60.6,13.2,0
2024-07-04,37.0,61.6,6.9,0
2024-07-05,28.1,53.0,15.1,20
2024-07-06,27.9,61.2,13.4,15
2024-07-07,36.8,66.1,12.8,0
2024-07-08,32.5,75.8,14.9,15
2024-07-09,26.2,71.1,17.0,0
2024-07-10,31.1,83.2,15.0,5
2024-07-11,25.9,54.1,6.5,0
2024-07-12,25.7,70.7,8.2,0
2024-07-13,29.1,64.0,10.1,0
2024-07-14,18.1,84.2,12.1,0
2024-07-15,18.9,54.4,13.6,0
2024-07-16,24.6,54.2,9.8,0
2024-07-17,22.1,56.8,12.6,0
2024-07-18,28.6,41.7,9.7,0
2024-07-19,22.3,57.9,10.2,0
2024-07-20,19.6,55.7,7.8,0
2024-07-21,33.9,65.0,9.2,15
2024-07-22,25.3,67.0,7.9,0
2024-07-23,26.6,82.5,9.1,0
2024-07-24,18.9,73.4,15.2,0
2024-07-25,23.2,58.3,9.2,5
2024-07-26,26.3,55.3,19.9,0
2024-07-27,19.8,69.3,13.5,0
2024-07-28,27.3,51.4,12.6,0
2024-07-29,22.3,83.0,9.4,10
2024-07-30,23.7,76.7,14.1,0
2024-07-31,22.0,60.3,10.3,0
2024-08-01,34.1,48.0,12.4,0
2024-08-02,24.6,78.8,19.7,5
2024-08-03,19.3,64.3,11.7,0
2024-08-04,28.5,78.0,15.4,0
2024-08-05,18.2,49.8,9.9,10
2024-08-06,25.2,59.9,11.9,0
2024-08-07,14.2,66.1,17.3,0
2024-08-08,17.2,66.6,10.1,0
2024-08-09,24.7,61.8,17.4,0
2024-08-10,27.3,72.6,14.1,0
2024-08-11,24.3,55.9,10.3,0
2024-08-12,22.7,65.3,13.9,0
2024-08-13,21.7,68.0,14.9,0
2024-08-14,15.7,72.1,13.9,20
2024-08-15,19.3,74.2,7.3,0
2024-08-16,20.5,55.9,9.8,20
2024-08-17,28.0,52.0,11.3,0
2024-08-18,24.3,80.2,11.8,5
2024-08-19,13.7,70.8,13.9,0
2024-08-20,24.0,60.2,12.5,0
2024-08-21,20.3,83.3,8.0,0
2024-08-22,18.8,69.0,13.1,5
2024-08-23,25.1,79.8,13.8,0
2024-08-24,27.1,68.7,13.7,0
2024-08-25,26.5,88.8,15.2,0
2024-08-26,17.5,85.8,14.5,0
2024-08-27,20.1,65.9,13.4,0
2024-08-28,23.2,78.2,11.8,0
2024-08-29,26.3,75.0,7.0,0
2024-08-30,19.0,82.3,13.3,0
2024-08-31,20.4,59.1,12.6,0
2024-09-01,15.7,75.7,12.8,0
2024-09-02,15.1,79.5,8.2,0
2024-09-03,25.1,51.4,8.8,0
2024-09-04,27.7,57.2,15.2,0
2024-09-05,20.5,48.7,11.9,0
2024-09-06,25.8,66.5,14.0,0
2024-09-07,22.6,76.4,12.1,0
2024-09-08,17.5,84.3,12.1,0
2024-09-09,22.4,70.1,14.8,0
2024-09-10,28.3,85.7,10.5,0
2024-09-11,20.3,55.7,12.3,0
2024-09-12,28.3,52.5,10.6,0
2024-09-13,7.3,69.0,10.7,0
2024-09-14,24.5,73.5,11.1,0
2024-09-15,20.8,69.4,12.7,0
2024-09-16,18.8,49.0,10.6,0
2024-09-17,20.7,68.9,15.8,0
2024-09-18,10.3,56.8,9.3,5
2024-09-19,19.1,76.5,11.4,0
2024-09-20,21.9,73.5,10.7,0
2024-09-21,27.5,60.5,16.3,0
2024-09-22,17.5,64.8,12.6,0
2024-09-23,16.0,59.3,15.1,0
2024-09-24,17.5,69.3,7.5,0
2024-09-25,24.6,79.5,12.8,0
2024-09-26,21.7,60.1,14.7,0
2024-09-27,17.4,75.0,12.2,0
2024-09-28,22.6,64.7,15.2,0
2024-09-29,20.5,62.1,10.4,0
2024-09-30,24.8,68.9,16.2,0
2024-10-01,16.5,59.6,18.9,15
2024-10-02,18.4,64.5,10.9,0
2024-10-03,18.1,58.0,10.7,0
2024-10-04,12.7,89.6,16.4,0
2024-10-05,21.5,70.3,16.7,0
2024-10-06,21.4,62.9,10.4,5
2024-10-07,20.1,72.1,10.7,0
2024-10-08,18.9,68.8,11.2,10
2024-10-09,13.0,67.7,8.0,0
2024-10-10,18.1,76.0,9.2,10
2024-10-11,18.5,77.4,9.0,0
2024-10-12,16.2,64.5,9.7,0
2024-10-13,19.5,64.0,11.9,0
2024-10-14,22.3,67.0,12.7,0
2024-10-15,29.8,46.6,16.7,0
2024-10-16,21.3,54.5,9.0,0
2024-10-17,21.7,83.2,15.0,0
2024-10-18,20.1,86.0,11.4,0
2024-10-19,11.0,67.0,11.9,0
2024-10-20,20.5,75.2,14.0,0
2024-10-21,21.0,72.5,8.6,0
2024-10-22,33.0,100.0,13.1,0
2024-10-23,19.8,80.4,12.5,0
2024-10-24,22.4,67.9,13.5,0
2024-10-25,20.8,59.5,12.9,0
2024-10-26,15.2,52.9,19.4,0
2024-10-27,26.8,71.0,10.1,0
2024-10-28,24.9,61.3,10.4,0
2024-10-29,25.2,54.5,10.1,0
2024-10-30,16.8,62.2,10.3,0
2024-10-31,28.4,57.8,10.1,0
2024-11-01,14.5,85.4,15.6,0
2024-11-02,24.5,77.2,16.3,15
2024-11-03,32.6,68.2,10.3,0
2024-11-04,16.8,83.0,9.5,0
2024-11-05,19.1,68.9,13.4,0
2024-11-06,22.5,59.4,10.3,0
2024-11-07,19.6,83.1,13.9,0
2024-11-08,14.4,73.2,12.6,15
2024-11-09,22.6,57.3,7.5,0
2024-11-10,17.1,65.7,16.6,0
2024-11-11,24.9,58.7,17.4,5
2024-11-12,18.0,53.5,10.2,0
2024-11-13,30.5,76.5,10.8,0
2024-11-14,19.0,86.2,12.9,0
2024-11-15,21.4,53.0,13.0,0
2024-11-16,27.2,72.5,14.0,0
2024-11-17,17.1,60.2,18.0,10
2024-11-18,24.5,61.7,11.5,0
2024-11-19,30.0,60.6,9.6,0
2024-11-20,15.6,57.7,7.9,0
2024-11-21,24.7,66.7,9.8,0
2024-11-22,25.2,57.8,11.9,0
2024-11-23,28.0,68.7,17.4,0
2024-11-24,18.0,65.3,10.4,0
2024-11-25,17.7,63.3,12.7,0
2024-11-26,27.1,56.4,12.0,0
2024-11-27,26.1,59.6,15.6,0
2024-11-28,26.0,72.8,19.6,0
2024-11-29,26.6,70.1,10.4,0
2024-11-30,21.7,55.2,10.5,0
2024-12-01,26.4,65.8,15.1,5
2024-12-02,26.8,72.1,14.0,0
2024-12-03,21.9,47.8,17.5,0
2024-12-04,35.0,69.8,13.8,0
2024-12-05,28.2,57.5,10.9,0
2024-12-06,20.0,69.7,13.8,0
2024-12-07,29.4,56.2,15.3,0
2024-12-08,21.4,45.6,14.5,0
2024-12-09,30.4,47.3,13.5,0
2024-12-10,32.4,63.9,15.2,0
2024-12-11,22.7,65.8,15.5,0
2024-12-12,31.8,54.0,16.1,20
2024-12-13,29.2,69.3,13.9,0
2024-12-14,31.4,46.1,11.5,0
2024-12-15,36.9,61.9,12.4,0
2024-12-16,26.4,50.3,15.6,0
2024-12-17,24.0,55.7,9.5,0
2024-12-18,23.5,62.5,13.1,0
2024-12-19,24.0,53.3,10.8,20
2024-12-20,27.9,57.9,12.1,0
2024-12-21,30.2,71.6,15.8,0
2024-12-22,30.0,55.6,12.6,0
2024-12-23,32.9,69.6,12.1,0
2024-12-24,29.0,49.7,7.9,0
2024-12-25,36.4,66.2,14.2,0
2024-12-26,28.0,75.1,13.9,0
2024-12-27,43.1,35.8,18.5,5
2024-12-28,32.8,52.4,11.1,0
2024-12-29,25.5,65.9,12.7,0
2024-12-30,24.6,58.0,12.7,0
2024-12-31,32.6,63.5,16.7,0
2025-01-01,29.1,53.8,11.7,0
2025-01-02,33.9,60.5,12.8,0
2025-01-03,32.9,57.9,13.8,0
2025-01-04,30.3,71.0,12.6,0
2025-01-05,26.6,61.7,10.7,0
2025-01-06,23.5,62.3,12.6,0
2025-01-07,29.0,54.7,15.2,5
2025-01-08,35.7,53.8,8.9,0
2025-01-09,32.6,54.1,12.4,0
2025-01-10,25.5,62.2,9.9,0
2025-01-11,32.7,53.9,15.6,0
2025-01-12,34.0,60.8,7.4,0
2025-01-13,27.8,78.5,10.3,20
2025-01-14,33.2,66.3,13.1,0
2025-01-15,32.8,54.2,16.7,0
2025-01-16,27.0,69.3,11.8,0
2025-01-17,34.7,53.0,10.3,0
2025-01-18,35.9,36.6,17.6,0
2025-01-19,38.6,46.7,7.7,0
2025-01-20,38.6,37.9,5.4,15
2025-01-21,26.6,52.9,13.3,0
2025-01-22,29.0,56.5,10.5,0
2025-01-23,36.4,72.9,8.9,0
2025-01-24,36.6,59.3,14.1,0
2025-01-25,36.7,53.6,12.7,0
2025-01-26,45.0,64.0,10.3,0
2025-01-27,37.3,33.4,8.2,0
2025-01-28,40.3,57.7,14.6,0
2025-01-29,39.6,62.9,14.0,0
2025-01-30,38.2,40.3,11.7,0
2025-01-31,33.5,66.4,17.5,10
2025-02-01,39.0,58.2,8.8,0
2025-02-02,31.5,50.5,7.4,0
2025-02-03,34.3,60.8,9.9,0
2025-02-04,33.2,77.0,11.9,20
2025-02-05,36.2,56.0,12.7,10
2025-02-06,45.0,56.5,11.3,0
2025-02-07,26.7,49.3,13.1,0
2025-02-08,39.7,45.3,8.2,0
